formula,AIC,BIC
log(duration) ~ physical_symptoms + (1|participant_id) + (1|problem_id),424.975454,444.515868
log(duration) ~ discomfort + (1|participant_id),607.804800,623.437132
log(duration) ~ discomfort + (1|problem_id),600.500225,616.132557
log(duration) ~ discomfort + (1|participant_id) + (1|problem_id),425.828290,445.368705
log(duration) ~ sensations + (1|participant_id),610.081717,625.714048
log(duration) ~ sensations + (1|problem_id),597.268655,612.900987
log(duration) ~ sensations + (1|participant_id) + (1|problem_id),420.899523,440.439937
log(duration) ~ TMS_Type + session + (1|participant_id),609.510074,629.050489
log(duration) ~ TMS_Type + session + (1|problem_id),598.153484,617.693899
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id),419.170739,442.619237
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|participant_id:TMS_Type),610.748392,634.196889
log(duration) ~ TMS_Type + session + (1|problem_id) + (1|problem_id:TMS_Type),600.113611,623.562109
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),421.170739,448.527320
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),421.170739,448.527320
log(duration) ~ TMS_Type + session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),423.170739,454.435403
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id),611.464577,631.004992
log(duration) ~ TMS_Type + coding_section_no + (1|problem_id),598.017925,617.558340
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id),420.505052,443.953550
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|participant_id:TMS_Type),612.241879,635.690377
log(duration) ~ TMS_Type + coding_section_no + (1|problem_id) + (1|problem_id:TMS_Type),599.974612,623.423110
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),422.479414,449.835995
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),422.505052,449.861633
log(duration) ~ TMS_Type + coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),424.479414,455.744078
log(duration) ~ TMS_Type + problem_order + (1|participant_id),611.382858,630.923272
log(duration) ~ TMS_Type + problem_order + (1|problem_id),601.900927,621.441341
log(duration) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id),428.045226,451.493724
log(duration) ~ TMS_Type + problem_order + (1|participant_id) + (1|participant_id:TMS_Type),612.098856,635.547353
log(duration) ~ TMS_Type + problem_order + (1|problem_id) + (1|problem_id:TMS_Type),603.875148,627.323646
log(duration) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),430.016257,457.372837
log(duration) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),430.045226,457.401807
log(duration) ~ TMS_Type + problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),432.016257,463.280920
log(duration) ~ TMS_Type + problem_set + (1|participant_id),593.690068,613.230482
log(duration) ~ TMS_Type + problem_set + (1|problem_id),601.627555,621.167970
log(duration) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id),427.057207,450.505705
log(duration) ~ TMS_Type + problem_set + (1|participant_id) + (1|participant_id:TMS_Type),595.690068,619.138565
log(duration) ~ TMS_Type + problem_set + (1|problem_id) + (1|problem_id:TMS_Type),603.615945,627.064443
log(duration) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),429.042461,456.399042
log(duration) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),429.057207,456.413788
log(duration) ~ TMS_Type + problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),431.042461,462.307125
log(duration) ~ session + coding_section_no + (1|participant_id),609.338281,628.878695
log(duration) ~ session + coding_section_no + (1|problem_id),594.721796,614.262210
log(duration) ~ session + coding_section_no + (1|participant_id) + (1|problem_id),411.306466,434.754964
log(duration) ~ session + problem_order + (1|participant_id),609.159087,628.699501
log(duration) ~ session + problem_order + (1|problem_id),598.808907,618.349322
log(duration) ~ session + problem_order + (1|participant_id) + (1|problem_id),419.262734,442.711232
log(duration) ~ session + problem_set + (1|participant_id),592.048363,611.588778
log(duration) ~ session + problem_set + (1|problem_id),598.093029,617.633444
log(duration) ~ session + problem_set + (1|participant_id) + (1|problem_id),419.030839,442.479337
log(duration) ~ problem_set + coding_section_no + (1|participant_id),593.002152,612.542566
log(duration) ~ problem_set + coding_section_no + (1|problem_id),598.151193,617.691608
log(duration) ~ problem_set + coding_section_no + (1|participant_id) + (1|problem_id),419.758131,443.206628
log(duration) ~ problem_set + problem_order + (1|participant_id),592.929920,612.470334
log(duration) ~ problem_set + problem_order + (1|problem_id),602.307121,621.847535
log(duration) ~ problem_set + problem_order + (1|participant_id) + (1|problem_id),427.322358,450.770856
log(duration) ~ coding_section_no + problem_order + (1|participant_id),611.062863,630.603277
log(duration) ~ coding_section_no + problem_order + (1|problem_id),598.495306,618.035721
log(duration) ~ coding_section_no + problem_order + (1|participant_id) + (1|problem_id),420.454023,443.902521
log(duration) ~ TMS_Type + pain + (1|participant_id),609.564892,629.105307
log(duration) ~ TMS_Type + pain + (1|problem_id),601.895437,621.435852
log(duration) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id),428.040286,451.488784
log(duration) ~ TMS_Type + pain + (1|participant_id) + (1|participant_id:TMS_Type),611.018662,634.467159
log(duration) ~ TMS_Type + pain + (1|problem_id) + (1|problem_id:TMS_Type),603.843183,627.291681
log(duration) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),430.014688,457.371268
log(duration) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),430.040286,457.396867
log(duration) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),432.014688,463.279351
log(duration) ~ TMS_Type + physical_symptoms + (1|participant_id),611.409592,630.950006
log(duration) ~ TMS_Type + physical_symptoms + (1|problem_id),601.877965,621.418380
log(duration) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id),426.975338,450.423836
log(duration) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|participant_id:TMS_Type),612.313113,635.761611
log(duration) ~ TMS_Type + physical_symptoms + (1|problem_id) + (1|problem_id:TMS_Type),603.856819,627.305317
log(duration) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),428.972503,456.329083
log(duration) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),428.975338,456.331919
log(duration) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),430.972503,462.237166
log(duration) ~ TMS_Type + discomfort + (1|participant_id),609.696009,629.236424
log(duration) ~ TMS_Type + discomfort + (1|problem_id),601.923028,621.463443
log(duration) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id),427.822525,451.271022
log(duration) ~ TMS_Type + discomfort + (1|participant_id) + (1|participant_id:TMS_Type),611.141421,634.589918
log(duration) ~ TMS_Type + discomfort + (1|problem_id) + (1|problem_id:TMS_Type),603.912645,627.361143
log(duration) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),429.810614,457.167195
log(duration) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),429.822525,457.179105
log(duration) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),431.810614,463.075278
log(duration) ~ TMS_Type + sensations + (1|participant_id),611.875004,631.415419
log(duration) ~ TMS_Type + sensations + (1|problem_id),598.371687,617.912102
log(duration) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id),422.678078,446.126575
log(duration) ~ TMS_Type + sensations + (1|participant_id) + (1|participant_id:TMS_Type),612.643443,636.091941
log(duration) ~ TMS_Type + sensations + (1|problem_id) + (1|problem_id:TMS_Type),600.371687,623.820185
log(duration) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),424.678078,452.034658
log(duration) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),424.678078,452.034658
log(duration) ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),426.678078,457.942741
log(duration) ~ session + pain + (1|participant_id),606.977929,626.518344
log(duration) ~ session + pain + (1|problem_id),598.851304,618.391719
log(duration) ~ session + pain + (1|participant_id) + (1|problem_id),419.284095,442.732593
log(duration) ~ session + physical_symptoms + (1|participant_id),609.607750,629.148164
log(duration) ~ session + physical_symptoms + (1|problem_id),598.744468,618.284883
log(duration) ~ session + physical_symptoms + (1|participant_id) + (1|problem_id),418.418455,441.866953
log(duration) ~ session + discomfort + (1|participant_id),606.775583,626.315998
log(duration) ~ session + discomfort + (1|problem_id),598.794336,618.334751
log(duration) ~ session + discomfort + (1|participant_id) + (1|problem_id),419.249016,442.697514
log(duration) ~ session + sensations + (1|participant_id),609.730188,629.270603
log(duration) ~ session + sensations + (1|problem_id),596.493650,616.034064
log(duration) ~ session + sensations + (1|participant_id) + (1|problem_id),416.477231,439.925729
log(duration) ~ coding_section_no + pain + (1|participant_id),609.201625,628.742040
log(duration) ~ coding_section_no + pain + (1|problem_id),598.648423,618.188838
log(duration) ~ coding_section_no + pain + (1|participant_id) + (1|problem_id),420.473059,443.921556
log(duration) ~ coding_section_no + physical_symptoms + (1|participant_id),611.451643,630.992058
log(duration) ~ coding_section_no + physical_symptoms + (1|problem_id),598.454393,617.994808
log(duration) ~ coding_section_no + physical_symptoms + (1|participant_id) + (1|problem_id),419.281599,442.730097
log(duration) ~ coding_section_no + discomfort + (1|participant_id),609.390331,628.930745
log(duration) ~ coding_section_no + discomfort + (1|problem_id),598.411408,617.951823
log(duration) ~ coding_section_no + discomfort + (1|participant_id) + (1|problem_id),420.156224,443.604722
log(duration) ~ coding_section_no + sensations + (1|participant_id),611.688374,631.228789
log(duration) ~ coding_section_no + sensations + (1|problem_id),595.169145,614.709560
log(duration) ~ coding_section_no + sensations + (1|participant_id) + (1|problem_id),415.424518,438.873016
log(duration) ~ problem_order + pain + (1|participant_id),609.005291,628.545706
log(duration) ~ problem_order + pain + (1|problem_id),602.687482,622.227897
log(duration) ~ problem_order + pain + (1|participant_id) + (1|problem_id),428.156847,451.605344
log(duration) ~ problem_order + physical_symptoms + (1|participant_id),611.317752,630.858167
log(duration) ~ problem_order + physical_symptoms + (1|problem_id),602.447747,621.988161
log(duration) ~ problem_order + physical_symptoms + (1|participant_id) + (1|problem_id),426.969377,450.417875
log(duration) ~ problem_order + discomfort + (1|participant_id),609.297316,628.837731
log(duration) ~ problem_order + discomfort + (1|problem_id),602.467903,622.008318
log(duration) ~ problem_order + discomfort + (1|participant_id) + (1|problem_id),427.818266,451.266763
log(duration) ~ problem_order + sensations + (1|participant_id),611.551732,631.092147
log(duration) ~ problem_order + sensations + (1|problem_id),599.216676,618.757091
log(duration) ~ problem_order + sensations + (1|participant_id) + (1|problem_id),422.888961,446.337458
log(duration) ~ problem_set + pain + (1|participant_id),593.439957,612.980372
log(duration) ~ problem_set + pain + (1|problem_id),602.309309,621.849724
log(duration) ~ problem_set + pain + (1|participant_id) + (1|problem_id),427.245399,450.693897
log(duration) ~ problem_set + physical_symptoms + (1|participant_id),593.429685,612.970100
log(duration) ~ problem_set + physical_symptoms + (1|problem_id),602.090335,621.630749
log(duration) ~ problem_set + physical_symptoms + (1|participant_id) + (1|problem_id),426.085738,449.534235
log(duration) ~ problem_set + discomfort + (1|participant_id),593.748185,613.288600
log(duration) ~ problem_set + discomfort + (1|problem_id),602.159655,621.700070
log(duration) ~ problem_set + discomfort + (1|participant_id) + (1|problem_id),426.796133,450.244631
log(duration) ~ problem_set + sensations + (1|participant_id),590.104596,609.645011
log(duration) ~ problem_set + sensations + (1|problem_id),599.064079,618.604494
log(duration) ~ problem_set + sensations + (1|participant_id) + (1|problem_id),421.423672,444.872170
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id),600.827516,647.724512
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|problem_id),604.436086,651.333081
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id),420.320884,471.125962
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|participant_id:TMS_Type),602.827516,653.632595
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|problem_id) + (1|problem_id:TMS_Type),606.312366,657.117444
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),422.320884,477.034045
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),422.320884,477.034045
log(duration) ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),424.320884,482.942128
log(duration) ~ TMS_Type * session + (1|participant_id),611.316569,634.765066
log(duration) ~ TMS_Type * session + (1|problem_id),590.099166,613.547664
log(duration) ~ TMS_Type * session + (1|participant_id) + (1|problem_id),420.641904,447.998484
log(duration) ~ TMS_Type * session + (1|participant_id) + (1|participant_id:TMS_Type),612.559313,639.915893
log(duration) ~ TMS_Type * session + (1|problem_id) + (1|problem_id:TMS_Type),592.098842,619.455422
log(duration) ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),422.641904,453.906567
log(duration) ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),422.641904,453.906567
log(duration) ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),424.641904,459.814650
log(duration) ~ TMS_Type * coding_section_no + (1|participant_id),612.701928,636.150425
log(duration) ~ TMS_Type * coding_section_no + (1|problem_id),600.012780,623.461278
log(duration) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id),421.233506,448.590086
log(duration) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|participant_id:TMS_Type),613.461999,640.818580
log(duration) ~ TMS_Type * coding_section_no + (1|problem_id) + (1|problem_id:TMS_Type),601.970442,629.327022
log(duration) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),423.218995,454.483659
log(duration) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),423.233506,454.498169
log(duration) ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),425.218995,460.391742
log(duration) ~ TMS_Type * problem_order + (1|participant_id),612.152160,635.600658
log(duration) ~ TMS_Type * problem_order + (1|problem_id),602.980613,626.429111
log(duration) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id),428.357212,455.713793
log(duration) ~ TMS_Type * problem_order + (1|participant_id) + (1|participant_id:TMS_Type),612.678737,640.035317
log(duration) ~ TMS_Type * problem_order + (1|problem_id) + (1|problem_id:TMS_Type),604.978310,632.334891
log(duration) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),430.299709,461.564373
log(duration) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),430.357212,461.621876
log(duration) ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),432.299709,467.472456
log(duration) ~ TMS_Type * problem_set + (1|participant_id),595.659494,619.107991
log(duration) ~ TMS_Type * problem_set + (1|problem_id),597.455597,620.904095
log(duration) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id),428.762331,456.118911
log(duration) ~ TMS_Type * problem_set + (1|participant_id) + (1|participant_id:TMS_Type),597.659494,625.016074
log(duration) ~ TMS_Type * problem_set + (1|problem_id) + (1|problem_id:TMS_Type),599.455597,626.812178
log(duration) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),430.743326,462.007990
log(duration) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),430.762331,462.026994
log(duration) ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),432.743327,467.916073
log(duration) ~ session * coding_section_no + (1|participant_id),611.106531,634.555028
log(duration) ~ session * coding_section_no + (1|problem_id),596.464344,619.912841
log(duration) ~ session * coding_section_no + (1|participant_id) + (1|problem_id),413.255917,440.612497
log(duration) ~ session * problem_order + (1|participant_id),611.157728,634.606226
log(duration) ~ session * problem_order + (1|problem_id),600.795439,624.243937
log(duration) ~ session * problem_order + (1|participant_id) + (1|problem_id),421.262578,448.619158
log(duration) ~ session * problem_set + (1|participant_id),592.900557,616.349055
log(duration) ~ session * problem_set + (1|problem_id),596.754202,620.202700
log(duration) ~ session * problem_set + (1|participant_id) + (1|problem_id),420.094169,447.450750
log(duration) ~ problem_set * coding_section_no + (1|participant_id),594.513108,617.961606
log(duration) ~ problem_set * coding_section_no + (1|problem_id),599.613562,623.062060
log(duration) ~ problem_set * coding_section_no + (1|participant_id) + (1|problem_id),420.705866,448.062446
log(duration) ~ problem_set * problem_order + (1|participant_id),590.983686,614.432184
log(duration) ~ problem_set * problem_order + (1|problem_id),603.750882,627.199380
log(duration) ~ problem_set * problem_order + (1|participant_id) + (1|problem_id),428.951394,456.307975
log(duration) ~ coding_section_no * problem_order + (1|participant_id),612.920981,636.369478
log(duration) ~ coding_section_no * problem_order + (1|problem_id),600.487413,623.935910
log(duration) ~ coding_section_no * problem_order + (1|participant_id) + (1|problem_id),421.250950,448.607530
log(duration) ~ TMS_Type * pain + (1|participant_id),609.032585,632.481083
log(duration) ~ TMS_Type * pain + (1|problem_id),600.376998,623.825496
log(duration) ~ TMS_Type * pain + (1|participant_id) + (1|problem_id),429.667647,457.024227
log(duration) ~ TMS_Type * pain + (1|participant_id) + (1|participant_id:TMS_Type),610.846056,638.202636
log(duration) ~ TMS_Type * pain + (1|problem_id) + (1|problem_id:TMS_Type),602.237267,629.593848
log(duration) ~ TMS_Type * pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),431.655164,462.919827
log(duration) ~ TMS_Type * pain + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),431.667647,462.932310
log(duration) ~ TMS_Type * pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),433.655164,468.827910
log(duration) ~ TMS_Type * physical_symptoms + (1|participant_id),611.409592,630.950006
log(duration) ~ TMS_Type * physical_symptoms + (1|problem_id),601.877965,621.418380
log(duration) ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id),426.975338,450.423836
log(duration) ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|participant_id:TMS_Type),612.313113,635.761611
log(duration) ~ TMS_Type * physical_symptoms + (1|problem_id) + (1|problem_id:TMS_Type),603.856819,627.305317
log(duration) ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),428.972503,456.329083
log(duration) ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),428.975338,456.331919
log(duration) ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),430.972503,462.237166
log(duration) ~ TMS_Type * discomfort + (1|participant_id),609.696009,629.236424
log(duration) ~ TMS_Type * discomfort + (1|problem_id),601.923028,621.463443
log(duration) ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id),427.822525,451.271022
log(duration) ~ TMS_Type * discomfort + (1|participant_id) + (1|participant_id:TMS_Type),611.141421,634.589918
log(duration) ~ TMS_Type * discomfort + (1|problem_id) + (1|problem_id:TMS_Type),603.912645,627.361143
log(duration) ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),429.810614,457.167195
log(duration) ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),429.822525,457.179105
log(duration) ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),431.810614,463.075278
log(duration) ~ TMS_Type * sensations + (1|participant_id),613.015637,636.464135
log(duration) ~ TMS_Type * sensations + (1|problem_id),598.835201,622.283699
log(duration) ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id),423.383659,450.740239
log(duration) ~ TMS_Type * sensations + (1|participant_id) + (1|participant_id:TMS_Type),614.092784,641.449365
log(duration) ~ TMS_Type * sensations + (1|problem_id) + (1|problem_id:TMS_Type),600.835201,628.191782
log(duration) ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),425.383659,456.648322
log(duration) ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),425.383659,456.648322
log(duration) ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),427.383659,462.556405
log(duration) ~ session * pain + (1|participant_id),608.825209,632.273707
log(duration) ~ session * pain + (1|problem_id),597.049320,620.497817
log(duration) ~ session * pain + (1|participant_id) + (1|problem_id),420.956083,448.312664
log(duration) ~ session * physical_symptoms + (1|participant_id),610.196302,633.644799
log(duration) ~ session * physical_symptoms + (1|problem_id),599.113004,622.561501
log(duration) ~ session * physical_symptoms + (1|participant_id) + (1|problem_id),420.303520,447.660101
log(duration) ~ session * discomfort + (1|participant_id),608.773197,632.221695
log(duration) ~ session * discomfort + (1|problem_id),597.397836,620.846333
log(duration) ~ session * discomfort + (1|participant_id) + (1|problem_id),420.747199,448.103780
log(duration) ~ session * sensations + (1|participant_id),611.166284,634.614782
log(duration) ~ session * sensations + (1|problem_id),597.756802,621.205300
log(duration) ~ session * sensations + (1|participant_id) + (1|problem_id),418.430393,445.786973
log(duration) ~ coding_section_no * pain + (1|participant_id),611.199452,634.647950
log(duration) ~ coding_section_no * pain + (1|problem_id),600.030183,623.478681
log(duration) ~ coding_section_no * pain + (1|participant_id) + (1|problem_id),422.284280,449.640860
log(duration) ~ coding_section_no * physical_symptoms + (1|participant_id),613.375454,636.823952
log(duration) ~ coding_section_no * physical_symptoms + (1|problem_id),600.398233,623.846731
log(duration) ~ coding_section_no * physical_symptoms + (1|participant_id) + (1|problem_id),421.129643,448.486224
log(duration) ~ coding_section_no * discomfort + (1|participant_id),610.924161,634.372659
log(duration) ~ coding_section_no * discomfort + (1|problem_id),598.837876,622.286374
log(duration) ~ coding_section_no * discomfort + (1|participant_id) + (1|problem_id),420.900694,448.257274
log(duration) ~ coding_section_no * sensations + (1|participant_id),613.344688,636.793186
log(duration) ~ coding_section_no * sensations + (1|problem_id),597.156151,620.604649
log(duration) ~ coding_section_no * sensations + (1|participant_id) + (1|problem_id),417.424489,444.781069
log(duration) ~ problem_order * pain + (1|participant_id),609.865295,633.313793
log(duration) ~ problem_order * pain + (1|problem_id),604.686412,628.134909
log(duration) ~ problem_order * pain + (1|participant_id) + (1|problem_id),430.102215,457.458796
log(duration) ~ problem_order * physical_symptoms + (1|participant_id),611.734496,635.182994
log(duration) ~ problem_order * physical_symptoms + (1|problem_id),603.988415,627.436912
log(duration) ~ problem_order * physical_symptoms + (1|participant_id) + (1|problem_id),427.438968,454.795548
log(duration) ~ problem_order * discomfort + (1|participant_id),608.287430,631.735927
log(duration) ~ problem_order * discomfort + (1|problem_id),603.570395,627.018893
log(duration) ~ problem_order * discomfort + (1|participant_id) + (1|problem_id),425.530116,452.886697
log(duration) ~ problem_order * sensations + (1|participant_id),612.425378,635.873875
log(duration) ~ problem_order * sensations + (1|problem_id),601.198754,624.647251
log(duration) ~ problem_order * sensations + (1|participant_id) + (1|problem_id),423.966189,451.322770
log(duration) ~ problem_set * pain + (1|participant_id),595.163485,618.611983
log(duration) ~ problem_set * pain + (1|problem_id),601.736870,625.185367
log(duration) ~ problem_set * pain + (1|participant_id) + (1|problem_id),429.071057,456.427638
log(duration) ~ problem_set * physical_symptoms + (1|participant_id),594.555519,618.004017
log(duration) ~ problem_set * physical_symptoms + (1|problem_id),603.432421,626.880918
log(duration) ~ problem_set * physical_symptoms + (1|participant_id) + (1|problem_id),426.735292,454.091873
log(duration) ~ problem_set * discomfort + (1|participant_id),595.409297,618.857794
log(duration) ~ problem_set * discomfort + (1|problem_id),603.101986,626.550484
log(duration) ~ problem_set * discomfort + (1|participant_id) + (1|problem_id),428.414645,455.771226
