formula,AIC,BIC
correctness ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),491.817228,517.488356
correctness ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),485.559560,515.509210
correctness ~ TMS_Type + sensations + (1|participant_id),660.633087,677.747173
correctness ~ TMS_Type + sensations + (1|problem_id),512.265146,529.379232
correctness ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id),489.566519,510.959126
correctness ~ TMS_Type + sensations + (1|participant_id) + (1|participant_id:TMS_Type),661.918054,683.310661
correctness ~ TMS_Type + sensations + (1|problem_id) + (1|problem_id:TMS_Type),514.265145,535.657752
correctness ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),482.940414,508.611542
correctness ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),491.566501,517.237629
correctness ~ TMS_Type + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),484.940430,514.890080
correctness ~ session + pain + (1|participant_id),659.918029,677.032114
correctness ~ session + pain + (1|problem_id),512.307469,529.421555
correctness ~ session + pain + (1|participant_id) + (1|problem_id),487.167838,508.560445
correctness ~ session + physical_symptoms + (1|participant_id),661.088894,678.202980
correctness ~ session + physical_symptoms + (1|problem_id),512.128345,529.242430
correctness ~ session + physical_symptoms + (1|participant_id) + (1|problem_id),489.519505,510.912112
correctness ~ session + discomfort + (1|participant_id),659.856950,676.971036
correctness ~ session + discomfort + (1|problem_id),511.895301,529.009387
correctness ~ session + discomfort + (1|participant_id) + (1|problem_id),486.467026,507.859633
correctness ~ session + sensations + (1|participant_id),659.282535,676.396620
correctness ~ session + sensations + (1|problem_id),509.558696,526.672782
correctness ~ session + sensations + (1|participant_id) + (1|problem_id),484.442920,505.835527
correctness ~ coding_section_no + pain + (1|participant_id),650.446044,667.560130
correctness ~ coding_section_no + pain + (1|problem_id),504.175138,521.289223
correctness ~ coding_section_no + pain + (1|participant_id) + (1|problem_id),479.419984,500.812591
correctness ~ coding_section_no + physical_symptoms + (1|participant_id),651.616589,668.730675
correctness ~ coding_section_no + physical_symptoms + (1|problem_id),503.798550,520.912635
correctness ~ coding_section_no + physical_symptoms + (1|participant_id) + (1|problem_id),481.343689,502.736296
correctness ~ coding_section_no + discomfort + (1|participant_id),650.412770,667.526856
correctness ~ coding_section_no + discomfort + (1|problem_id),503.596667,520.710752
correctness ~ coding_section_no + discomfort + (1|participant_id) + (1|problem_id),478.530264,499.922871
correctness ~ coding_section_no + sensations + (1|participant_id),650.410529,667.524615
correctness ~ coding_section_no + sensations + (1|problem_id),501.878559,518.992645
correctness ~ coding_section_no + sensations + (1|participant_id) + (1|problem_id),478.083950,499.476557
correctness ~ problem_order + pain + (1|participant_id),660.928291,678.042377
correctness ~ problem_order + pain + (1|problem_id),514.100556,531.214642
correctness ~ problem_order + pain + (1|participant_id) + (1|problem_id),490.367716,511.760323
correctness ~ problem_order + physical_symptoms + (1|participant_id),662.098839,679.212924
correctness ~ problem_order + physical_symptoms + (1|problem_id),513.810293,530.924378
correctness ~ problem_order + physical_symptoms + (1|participant_id) + (1|problem_id),492.593826,513.986433
correctness ~ problem_order + discomfort + (1|participant_id),660.770708,677.884794
correctness ~ problem_order + discomfort + (1|problem_id),513.549376,530.663462
correctness ~ problem_order + discomfort + (1|participant_id) + (1|problem_id),489.389480,510.782087
correctness ~ problem_order + sensations + (1|participant_id),660.937179,678.051265
correctness ~ problem_order + sensations + (1|problem_id),512.136324,529.250409
correctness ~ problem_order + sensations + (1|participant_id) + (1|problem_id),489.505431,510.898039
correctness ~ problem_set + pain + (1|participant_id),660.679381,677.793466
correctness ~ problem_set + pain + (1|problem_id),513.813636,530.927721
correctness ~ problem_set + pain + (1|participant_id) + (1|problem_id),490.540086,511.932693
correctness ~ problem_set + physical_symptoms + (1|participant_id),661.263186,678.377272
correctness ~ problem_set + physical_symptoms + (1|problem_id),513.439979,530.554065
correctness ~ problem_set + physical_symptoms + (1|participant_id) + (1|problem_id),492.411998,513.804605
correctness ~ problem_set + discomfort + (1|participant_id),660.673317,677.787402
correctness ~ problem_set + discomfort + (1|problem_id),513.369957,530.484042
correctness ~ problem_set + discomfort + (1|participant_id) + (1|problem_id),489.479153,510.871761
correctness ~ problem_set + sensations + (1|participant_id),659.171268,676.285354
correctness ~ problem_set + sensations + (1|problem_id),511.589822,528.703908
correctness ~ problem_set + sensations + (1|participant_id) + (1|problem_id),489.097229,510.489836
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id),657.833481,704.897217
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|problem_id),506.949478,554.013213
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id),479.522449,530.864706
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|participant_id:TMS_Type),659.831042,711.173299
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|problem_id) + (1|problem_id:TMS_Type),508.949472,560.291729
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),479.155687,534.776465
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),481.522379,537.143158
correctness ~ TMS_Type + session + coding_section_no + problem_order + problem_set + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),481.155449,541.054749
correctness ~ TMS_Type * session + (1|participant_id),661.995717,683.388324
correctness ~ TMS_Type * session + (1|problem_id),512.895456,534.288063
correctness ~ TMS_Type * session + (1|participant_id) + (1|problem_id),490.496264,516.167393
correctness ~ TMS_Type * session + (1|participant_id) + (1|participant_id:TMS_Type),663.345891,689.017020
correctness ~ TMS_Type * session + (1|problem_id) + (1|problem_id:TMS_Type),514.895455,540.566584
correctness ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),484.101128,514.050778
correctness ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),492.496235,522.445885
correctness ~ TMS_Type * session + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),486.101162,520.329333
correctness ~ TMS_Type * coding_section_no + (1|participant_id),651.803503,673.196110
correctness ~ TMS_Type * coding_section_no + (1|problem_id),505.027286,526.419893
correctness ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id),482.319680,507.990808
correctness ~ TMS_Type * coding_section_no + (1|participant_id) + (1|participant_id:TMS_Type),652.899928,678.571057
correctness ~ TMS_Type * coding_section_no + (1|problem_id) + (1|problem_id:TMS_Type),507.027284,532.698412
correctness ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),474.243188,504.192838
correctness ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),484.319643,514.269293
correctness ~ TMS_Type * coding_section_no + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),476.243188,510.471360
correctness ~ TMS_Type * problem_order + (1|participant_id),662.838123,684.230730
correctness ~ TMS_Type * problem_order + (1|problem_id),513.902245,535.294852
correctness ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id),492.191625,517.862754
correctness ~ TMS_Type * problem_order + (1|participant_id) + (1|participant_id:TMS_Type),663.896912,689.568040
correctness ~ TMS_Type * problem_order + (1|problem_id) + (1|problem_id:TMS_Type),515.902243,541.573372
correctness ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),484.812147,514.761797
correctness ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),494.191606,524.141256
correctness ~ TMS_Type * problem_order + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),486.812158,521.040329
correctness ~ TMS_Type * problem_set + (1|participant_id),661.959217,683.351824
correctness ~ TMS_Type * problem_set + (1|problem_id),513.183657,534.576264
correctness ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id),492.802598,518.473726
correctness ~ TMS_Type * problem_set + (1|participant_id) + (1|participant_id:TMS_Type),663.032132,688.703261
correctness ~ TMS_Type * problem_set + (1|problem_id) + (1|problem_id:TMS_Type),515.183652,540.854781
correctness ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),484.497357,514.447007
correctness ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),494.802556,524.752206
correctness ~ TMS_Type * problem_set + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),486.497412,520.725583
correctness ~ session * coding_section_no + (1|participant_id),652.080757,673.473364
correctness ~ session * coding_section_no + (1|problem_id),503.138401,524.531008
correctness ~ session * coding_section_no + (1|participant_id) + (1|problem_id),479.517167,505.188295
correctness ~ session * problem_order + (1|participant_id),661.500532,682.893139
correctness ~ session * problem_order + (1|problem_id),513.210076,534.602684
correctness ~ session * problem_order + (1|participant_id) + (1|problem_id),490.053428,515.724556
correctness ~ session * problem_set + (1|participant_id),661.553953,682.946560
correctness ~ session * problem_set + (1|problem_id),512.584123,533.976730
correctness ~ session * problem_set + (1|participant_id) + (1|problem_id),490.576088,516.247217
correctness ~ problem_set * coding_section_no + (1|participant_id),651.302991,672.695598
correctness ~ problem_set * coding_section_no + (1|problem_id),504.083287,525.475894
correctness ~ problem_set * coding_section_no + (1|participant_id) + (1|problem_id),481.937351,507.608480
correctness ~ problem_set * problem_order + (1|participant_id),660.164744,681.557351
correctness ~ problem_set * problem_order + (1|problem_id),514.243450,535.636057
correctness ~ problem_set * problem_order + (1|participant_id) + (1|problem_id),492.695770,518.366899
correctness ~ coding_section_no * problem_order + (1|participant_id),650.230116,671.622723
correctness ~ coding_section_no * problem_order + (1|problem_id),502.736489,524.129096
correctness ~ coding_section_no * problem_order + (1|participant_id) + (1|problem_id),480.577007,506.248136
correctness ~ TMS_Type * pain + (1|participant_id),662.857099,684.249706
correctness ~ TMS_Type * pain + (1|problem_id),515.348422,536.741029
correctness ~ TMS_Type * pain + (1|participant_id) + (1|problem_id),492.531501,518.202630
correctness ~ TMS_Type * pain + (1|participant_id) + (1|participant_id:TMS_Type),664.143062,689.814190
correctness ~ TMS_Type * pain + (1|problem_id) + (1|problem_id:TMS_Type),517.348420,543.019549
correctness ~ TMS_Type * pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),485.608270,515.557920
correctness ~ TMS_Type * pain + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),494.531480,524.481130
correctness ~ TMS_Type * pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),487.608275,521.836446
correctness ~ TMS_Type * physical_symptoms + (1|participant_id),661.683869,678.797954
correctness ~ TMS_Type * physical_symptoms + (1|problem_id),513.836004,530.950090
correctness ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id),491.879292,513.271899
correctness ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|participant_id:TMS_Type),662.674912,684.067519
correctness ~ TMS_Type * physical_symptoms + (1|problem_id) + (1|problem_id:TMS_Type),515.836003,537.228610
correctness ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),483.771624,509.442753
correctness ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),493.879275,519.550404
correctness ~ TMS_Type * physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),485.771641,515.721291
correctness ~ TMS_Type * discomfort + (1|participant_id),660.994751,678.108837
correctness ~ TMS_Type * discomfort + (1|problem_id),513.800945,530.915030
correctness ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id),489.817251,511.209858
correctness ~ TMS_Type * discomfort + (1|participant_id) + (1|participant_id:TMS_Type),662.385836,683.778443
correctness ~ TMS_Type * discomfort + (1|problem_id) + (1|problem_id:TMS_Type),515.800943,537.193550
correctness ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),483.559543,509.230672
correctness ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),491.817228,517.488356
correctness ~ TMS_Type * discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),485.559560,515.509210
correctness ~ TMS_Type * sensations + (1|participant_id),662.196785,683.589392
correctness ~ TMS_Type * sensations + (1|problem_id),512.962677,534.355284
correctness ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id),490.823916,516.495044
correctness ~ TMS_Type * sensations + (1|participant_id) + (1|participant_id:TMS_Type),663.413635,689.084763
correctness ~ TMS_Type * sensations + (1|problem_id) + (1|problem_id:TMS_Type),514.962676,540.633804
correctness ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),484.279191,514.228841
correctness ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),492.823892,522.773542
correctness ~ TMS_Type * sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),486.279220,520.507391
correctness ~ session * pain + (1|participant_id),661.873837,683.266444
correctness ~ session * pain + (1|problem_id),513.429716,534.822323
correctness ~ session * pain + (1|participant_id) + (1|problem_id),489.161909,514.833037
correctness ~ session * physical_symptoms + (1|participant_id),662.231998,683.624605
correctness ~ session * physical_symptoms + (1|problem_id),509.918445,531.311052
correctness ~ session * physical_symptoms + (1|participant_id) + (1|problem_id),491.199180,516.870309
correctness ~ session * discomfort + (1|participant_id),661.607955,683.000562
correctness ~ session * discomfort + (1|problem_id),512.037714,533.430321
correctness ~ session * discomfort + (1|participant_id) + (1|problem_id),488.400526,514.071655
correctness ~ session * sensations + (1|participant_id),660.882117,682.274724
correctness ~ session * sensations + (1|problem_id),511.215327,532.607934
correctness ~ session * sensations + (1|participant_id) + (1|problem_id),485.997586,511.668714
correctness ~ coding_section_no * pain + (1|participant_id),651.186966,672.579573
correctness ~ coding_section_no * pain + (1|problem_id),506.005190,527.397797
correctness ~ coding_section_no * pain + (1|participant_id) + (1|problem_id),481.042377,506.713506
correctness ~ coding_section_no * physical_symptoms + (1|participant_id),653.371563,674.764170
correctness ~ coding_section_no * physical_symptoms + (1|problem_id),505.775632,527.168239
correctness ~ coding_section_no * physical_symptoms + (1|participant_id) + (1|problem_id),483.339143,509.010271
correctness ~ coding_section_no * discomfort + (1|participant_id),652.412427,673.805034
correctness ~ coding_section_no * discomfort + (1|problem_id),505.438023,526.830631
correctness ~ coding_section_no * discomfort + (1|participant_id) + (1|problem_id),480.295483,505.966612
correctness ~ coding_section_no * sensations + (1|participant_id),652.361457,673.754064
correctness ~ coding_section_no * sensations + (1|problem_id),503.852484,525.245091
correctness ~ coding_section_no * sensations + (1|participant_id) + (1|problem_id),480.047872,505.719001
correctness ~ problem_order * pain + (1|participant_id),661.664206,683.056813
correctness ~ problem_order * pain + (1|problem_id),515.832996,537.225603
correctness ~ problem_order * pain + (1|participant_id) + (1|problem_id),492.027534,517.698662
correctness ~ problem_order * physical_symptoms + (1|participant_id),664.070604,685.463211
correctness ~ problem_order * physical_symptoms + (1|problem_id),515.806895,537.199502
correctness ~ problem_order * physical_symptoms + (1|participant_id) + (1|problem_id),494.170880,519.842009
correctness ~ problem_order * discomfort + (1|participant_id),661.869223,683.261830
correctness ~ problem_order * discomfort + (1|problem_id),513.450281,534.842888
correctness ~ problem_order * discomfort + (1|participant_id) + (1|problem_id),489.467941,515.139069
correctness ~ problem_order * sensations + (1|participant_id),662.487433,683.880040
correctness ~ problem_order * sensations + (1|problem_id),514.123118,535.515725
correctness ~ problem_order * sensations + (1|participant_id) + (1|problem_id),491.489179,517.160308
correctness ~ problem_set * pain + (1|participant_id),662.632103,684.024710
correctness ~ problem_set * pain + (1|problem_id),514.887157,536.279764
correctness ~ problem_set * pain + (1|participant_id) + (1|problem_id),492.488233,518.159362
correctness ~ problem_set * physical_symptoms + (1|participant_id),662.906206,684.298814
correctness ~ problem_set * physical_symptoms + (1|problem_id),515.277818,536.670426
correctness ~ problem_set * physical_symptoms + (1|participant_id) + (1|problem_id),493.588337,519.259466
correctness ~ problem_set * discomfort + (1|participant_id),662.602303,683.994910
correctness ~ problem_set * discomfort + (1|problem_id),515.349667,536.742274
correctness ~ problem_set * discomfort + (1|participant_id) + (1|problem_id),491.469086,517.140214
correctness ~ problem_set * sensations + (1|participant_id),660.100251,681.492858
correctness ~ problem_set * sensations + (1|problem_id),510.249875,531.642482
correctness ~ problem_set * sensations + (1|participant_id) + (1|problem_id),489.182692,514.853821
correctness ~ TMS_Type * session + problem_set + coding_section_no + problem_order + pain + physical_symptoms + discomfort + sensations + (1|participant_id),659.833341,711.175598
correctness ~ TMS_Type * session + problem_set + coding_section_no + problem_order + pain + physical_symptoms + discomfort + sensations + (1|problem_id),508.884324,560.226581
correctness ~ TMS_Type * session + problem_set + coding_section_no + problem_order + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id),481.415091,537.035870
correctness ~ TMS_Type * session + problem_set + coding_section_no + problem_order + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|participant_id:TMS_Type),661.830934,717.451713
correctness ~ TMS_Type * session + problem_set + coding_section_no + problem_order + pain + physical_symptoms + discomfort + sensations + (1|problem_id) + (1|problem_id:TMS_Type),510.884318,566.505096
correctness ~ TMS_Type * session + problem_set + coding_section_no + problem_order + pain + physical_symptoms + discomfort + sensations + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),481.061863,540.961163
